,Matrix Size,Solver,Matrix Kind,Computation Time (seconds),Matrix Memory (MB)
81,9500,numpy,normal,7.949905300003593,688.5528564453125
82,9500,numpy,tridiagonal,7.685402499992051,0.2174224853515625
83,9500,numpy,diagonal,7.660769800000708,0.072479248046875
84,9500,scipy,normal,2.4063330000062706,688.5528564453125
85,9500,scipy,tridiagonal,0.04585640000004787,0.2174224853515625
86,9500,scipy,diagonal,0.04525090000242926,0.072479248046875
87,9500,scipy sparse,normal,,688.5528564453125
88,9500,scipy sparse,tridiagonal,0.0020109000033698976,0.2174224853515625
89,9500,scipy sparse,diagonal,0.0009797999955480918,0.072479248046875
90,10500,numpy,normal,2.3568570999923395,841.1407470703125
91,10500,numpy,tridiagonal,2.199538400003803,0.2403106689453125
92,10500,numpy,diagonal,2.1953611000062665,0.080108642578125
93,10500,scipy,normal,3.3943170999991708,841.1407470703125
94,10500,scipy,tridiagonal,0.055354999989503995,0.2403106689453125
95,10500,scipy,diagonal,0.05437159999564756,0.080108642578125
96,10500,scipy sparse,normal,,841.1407470703125
97,10500,scipy sparse,tridiagonal,0.0022261999984038994,0.2403106689453125
98,10500,scipy sparse,diagonal,0.0010503000085009262,0.080108642578125
99,11500,numpy,normal,3.022189300012542,1008.9874267578125
100,11500,numpy,tridiagonal,2.815889799996512,0.2631988525390625
101,11500,numpy,diagonal,2.8026432000042405,0.087738037109375
102,11500,scipy,normal,4.780030100009753,1008.9874267578125
103,11500,scipy,tridiagonal,0.06508040000335313,0.2631988525390625
104,11500,scipy,diagonal,0.06441249999625143,0.087738037109375
105,11500,scipy sparse,normal,,1008.9874267578125
106,11500,scipy sparse,tridiagonal,0.00243719998979941,0.2631988525390625
107,11500,scipy sparse,diagonal,0.0011317000025883317,0.087738037109375
108,12500,numpy,normal,3.9938757000054466,1192.0928955078125
109,12500,numpy,tridiagonal,3.5709574000065913,0.2860870361328125
110,12500,numpy,diagonal,3.5577897999901325,0.095367431640625
111,12500,scipy,normal,6.255691400001524,1192.0928955078125
112,12500,scipy,tridiagonal,0.0756381999963196,0.2860870361328125
113,12500,scipy,diagonal,0.07528110001294408,0.095367431640625
114,12500,scipy sparse,normal,,1192.0928955078125
115,12500,scipy sparse,tridiagonal,0.002593400000478141,0.2860870361328125
116,12500,scipy sparse,diagonal,0.001259500000742264,0.095367431640625
117,13500,numpy,normal,4.757763099987642,1390.4571533203125
118,13500,numpy,tridiagonal,4.396928600006504,0.3089752197265625
119,13500,numpy,diagonal,4.40787709999131,0.102996826171875
120,13500,scipy,normal,8.024951300001703,1390.4571533203125
121,13500,scipy,tridiagonal,0.08746559999417514,0.3089752197265625
122,13500,scipy,diagonal,0.08724229999643285,0.102996826171875
123,13500,scipy sparse,normal,,1390.4571533203125
124,13500,scipy sparse,tridiagonal,0.002842200003215112,0.3089752197265625
125,13500,scipy sparse,diagonal,0.0013557000056607649,0.102996826171875
126,14500,numpy,normal,5.782828600000357,1604.0802001953125
127,14500,numpy,tridiagonal,5.358671399997547,0.3318634033203125
128,14500,numpy,diagonal,5.3528247000067495,0.110626220703125
129,14500,scipy,normal,9.754779999988386,1604.0802001953125
130,14500,scipy,tridiagonal,0.09947830000601243,0.3318634033203125
131,14500,scipy,diagonal,0.09835580000071786,0.110626220703125
132,14500,scipy sparse,normal,,1604.0802001953125
133,14500,scipy sparse,tridiagonal,0.0029746000072918832,0.3318634033203125
134,14500,scipy sparse,diagonal,0.0014751999988220632,0.110626220703125
