,x,y,Phi
84,0.03931703100080721,-0.04532296408313962,-1.0
85,0.039328662572538205,-0.045312871242677084,-1.0
86,0.03934029155339643,-0.04530277541711727,-1.0
87,0.03935191794261582,-0.04529267660712525,-1.0
88,0.039363541739430435,-0.04528257481336632,-1.0
89,0.03937516294307454,-0.04527247003650596,-1.0
90,0.03938678155278255,-0.04526236227720983,-1.0
91,0.039398397567789074,-0.04525225153614383,-1.0
92,0.03941001098732886,-0.045242137813974015,-1.0
93,0.03942162181063687,-0.04523202111136666,-1.0
94,0.039433230036948194,-0.045221901428988215,-1.0
95,0.03944483566549811,-0.04521177876750535,-1.0
96,0.03945643869552209,-0.045201653127584916,-1.0
97,0.03946803912625573,-0.045191524509893964,-1.0
98,0.039479636956934835,-0.04518139291509974,-1.0
99,0.039491232186795365,-0.045171258343869695,-1.0
100,0.03950282481507346,-0.045161120796871464,-1.0
101,0.03951441484100542,-0.045150980274772885,-1.0
102,0.03952600226382774,-0.04514083677824199,-1.0
103,0.039537587082777055,-0.045130690307946995,-1.0
104,0.03954916929709019,-0.045120540864556344,-1.0
105,0.03956074890600413,-0.045110388448738645,-1.0
106,0.03957232590875606,-0.04510023306116271,-1.0
107,0.0395839003045833,-0.045090074702497554,-1.0
108,0.039595472092723356,-0.04507991337341239,-1.0
109,0.03960704127241392,-0.045069749074576615,-1.0
110,0.03961860784289284,-0.04505958180665984,-1.0
111,0.03963017180339813,-0.045049411570331835,-1.0
112,0.039641733153168,-0.0450392383662626,-1.0
113,0.0396532918914408,-0.04502906219512232,-1.0
114,0.03966484801745509,-0.04501888305758139,-1.0
115,0.03967640153044957,-0.04500870095431036,-1.0
116,0.03968795242966314,-0.04499851588598002,-1.0
117,0.03969950071433482,-0.04498832785326133,-1.0
118,0.03971104638370387,-0.04497813685682545,-1.0
119,0.039722589437009674,-0.04496794289734374,-1.0
120,0.039734129873491814,-0.04495774597548776,-1.0
121,0.03974566769239003,-0.04494754609192923,-1.0
122,0.03975720289294425,-0.044937343247340125,-1.0
123,0.03976873547439455,-0.044927137442392566,-1.0
124,0.039780265435981205,-0.044916928677758886,-1.0
125,0.03979179277694464,-0.04490671695411162,-1.0
126,0.039803317496525464,-0.04489650227212349,-1.0
127,0.039814839593964466,-0.044886284632467396,-1.0
128,0.03982635906850259,-0.044876064035816475,-1.0
129,0.03983787591938097,-0.04486584048284402,-1.0
130,0.0398493901458409,-0.04485561397422354,-1.0
131,0.03986090174712386,-0.044845384510628715,-1.0
132,0.039872410722471475,-0.044835152092733456,-1.0
133,0.03988391707112559,-0.04482491672121184,-1.0
134,0.039895420792328176,-0.044814678396738146,-1.0
135,0.039906921885321404,-0.044804437119986856,-1.0
136,0.03991842034934761,-0.04479419289163262,-1.0
137,0.0399299161836493,-0.04478394571235032,-1.0
138,0.03994140938746916,-0.04477369558281503,-1.0
139,0.03995289996005006,-0.04476344250370196,-1.0
140,0.039964387900635015,-0.044753186475686595,-1.0
141,0.03997587320846722,-0.044742927499444564,-1.0
142,0.03998735588279007,-0.044732665575651684,-1.0
143,0.03999883592284713,-0.04472240070498401,-1.0
144,0.040010313327882074,-0.04471213288811776,-1.0
145,0.04002178809713885,-0.04470186212572934,-1.0
146,0.0400332602298615,-0.04469158841849537,-1.0
147,0.040044729725294284,-0.04468131176709265,-1.0
148,0.04005619658268161,-0.04467103217219819,-1.0
149,0.04006766080126807,-0.04466074963448918,-1.0
150,0.04007912238029844,-0.04465046415464301,-1.0
151,0.04009058131901765,-0.044640175733337256,-1.0
152,0.04010203761667083,-0.04462988437124969,-1.0
153,0.04011349127250326,-0.04461959006905829,-1.0
154,0.040124942285760384,-0.044609292827441215,-1.0
155,0.04013639065568786,-0.04459899264707682,-1.0
156,0.04014783638153149,-0.044588689528643644,-1.0
157,0.040159279462537265,-0.04457838347282046,-1.0
158,0.04017071989795134,-0.04456807448028618,-1.0
159,0.04018215768702004,-0.044557762551719934,-1.0
160,0.040193592828989884,-0.04454744768780106,-1.0
161,0.04020502532310756,-0.04453712988920906,-1.0
162,0.04021645516861991,-0.04452680915662366,-1.0
163,0.04022788236477396,-0.04451648549072476,-1.0
164,0.040239306910816924,-0.04450615889219245,-1.0
165,0.040250728805996186,-0.04449582936170702,-1.0
166,0.04026214804955929,-0.04448549689994896,-1.0
167,0.04027356464075398,-0.044475161507598934,-1.0
168,0.04028497857882816,-0.04446482318533783,-1.0
169,0.04029638986302988,-0.0444544819338467,-1.0
170,0.040307798492607426,-0.044444137753806796,-1.0
171,0.04031920446680921,-0.04443379064589957,-1.0
172,0.04033060778488383,-0.04442344061080667,-1.0
173,0.04034200844608008,-0.04441308764920992,-1.0
174,0.04035340644964691,-0.04440273176179135,-1.0
175,0.04036480179483344,-0.04439237294923319,-1.0
176,0.04037619448088898,-0.04438201121221783,-1.0
177,0.040387584507063014,-0.0443716465514279,-1.0
178,0.04039897187260518,-0.044361278967546186,-1.0
179,0.04041035657676532,-0.04435090846125567,-1.0
180,0.04042173861879343,-0.04434053503323954,-1.0
181,0.040433117997939694,-0.044330158684181185,-1.0
182,0.040444494713454474,-0.04431977941476416,-1.0
183,0.040455868764588294,-0.04430939722567222,-1.0
184,0.04046724015059186,-0.044299012117589326,-1.0
185,0.040478608870716054,-0.04428862409119962,-1.0
186,0.040489974924211934,-0.04427823314718744,-1.0
187,0.04050133831033073,-0.04426783928623732,-1.0
188,0.040512699028323856,-0.04425744250903397,-1.0
189,0.0405240570774429,-0.0442470428162623,-1.0
190,0.04053541245693961,-0.044236640208607445,-1.0
191,0.04054676516606594,-0.04422623468675467,-1.0
192,0.04055811520407398,-0.04421582625138947,-1.0
193,0.040569462570216035,-0.04420541490319754,-1.0
194,0.040580807263744564,-0.04419500064286475,-1.0
195,0.04059214928391221,-0.04418458347107716,-1.0
196,0.04060348862997179,-0.04417416338852103,-1.0
197,0.040614825301176286,-0.0441637403958828,-1.0
198,0.040626159296778874,-0.04415331449384912,-1.0
199,0.040637490616032904,-0.04414288568310682,-1.0
200,0.040648819258191894,-0.04413245396434293,-1.0
201,0.04066014522250954,-0.04412201933824464,-1.0
202,0.040671468508239716,-0.044111581805499386,-1.0
203,0.04068278911463647,-0.04410114136679476,-1.0
204,0.04069410704095404,-0.044090698022818536,-1.0
205,0.040705422286446816,-0.044080251774258714,-1.0
206,0.040716734850369384,-0.04406980262180346,-1.0
207,0.040728044731976505,-0.04405935056614113,-1.0
208,0.0407393519305231,-0.044048895607960284,-1.0
209,0.0407506564452643,-0.044038437747949674,-1.0
210,0.040761958275455375,-0.04402797698679823,-1.0
211,0.0407732574203518,-0.04401751332519509,-1.0
212,0.0407845538792092,-0.044007046763829556,-1.0
213,0.04079584765128341,-0.043996577303391154,-1.0
214,0.04080713873583042,-0.04398610494456958,-1.0
215,0.04081842713210639,-0.043975629688054726,-1.0
216,0.04082971283936769,-0.04396515153453668,-1.0
217,0.04084099585687083,-0.04395467048470571,-1.0
218,0.04085227618387252,-0.043944186539252285,-1.0
219,0.040863553819629646,-0.04393369969886706,-1.0
220,0.04087482876339925,-0.04392320996424088,-1.0
221,0.04088610101443857,-0.043912717336064784,-1.0
222,0.040897370572005036,-0.04390222181502999,-1.0
223,0.04090863743535623,-0.04389172340182794,-1.0
224,0.040919901603749906,-0.04388122209715022,-1.0
225,0.04093116307644403,-0.043870717901688644,-1.0
226,0.040942421852696705,-0.04386021081613519,-1.0
227,0.04095367793176624,-0.04384970084118205,-1.0
228,0.040964931312911124,-0.043839187977521586,-1.0
229,0.04097618199539,-0.04382867222584636,-1.0
230,0.0409874299784617,-0.04381815358684913,-1.0
231,0.04099867526138524,-0.043807632061222825,-1.0
232,0.04100991784341981,-0.04379710764966058,-1.0
233,0.041021157723824773,-0.04378658035285572,-1.0
234,0.041032394901859684,-0.04377605017150176,-1.0
235,0.04104362937678425,-0.0437655171062924,-1.0
236,0.04105486114785838,-0.04375498115792153,-1.0
237,0.04106609021434216,-0.04374444232708323,-1.0
238,0.04107731657549584,-0.043733900614471764,-1.0
239,0.04108854023057986,-0.04372335602078162,-1.0
240,0.04109976117885483,-0.043712808546707414,-1.0
241,0.04111097941958155,-0.043702258192944016,-1.0
242,0.04112219495202097,-0.04369170496018644,-1.0
243,0.04113340777543427,-0.043681148849129915,-1.0
244,0.04114461788908275,-0.04367058986046984,-1.0
245,0.041155825292227936,-0.043660027994901825,-1.0
246,0.0411670299841315,-0.043649463253121655,-1.0
247,0.04117823196405531,-0.043638895635825306,-1.0
248,0.041189431231261404,-0.04362832514370896,-1.0
249,0.04120062778501201,-0.043617751777468954,-1.0
250,0.041211821624569524,-0.04360717553780184,-1.0
251,0.04122301274919653,-0.043596596425404366,-1.0
252,0.04123420115815576,-0.043586014440973445,-1.0
253,0.04124538685071018,-0.043575429585206195,-1.0
254,0.0412565698261229,-0.04356484185879992,-1.0
255,0.04126775008365719,-0.04355425126245212,-1.0
256,0.04127892762257655,-0.04354365779686045,-1.0
257,0.04129010244214463,-0.043533061462722816,-1.0
258,0.04130127454162523,-0.043522462260737256,-1.0
259,0.0413124439202824,-0.043511860191602025,-1.0
260,0.04132361057738032,-0.04350125525601555,-1.0
